date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:57	39066/39066	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/maps/fullscreen.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/maps/fullscreen.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:58	40764/40764	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/maps/vector.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/maps/vector.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:58	62131/62131	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/widgets.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/widgets.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:58	45162/45162	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/charts.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/charts.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:59	40684/40684	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/calendar.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/calendar.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:59	3310/3310	---M--	200	added ('OK')	image/png	etag:%225e6ba644-cee%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/US.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/US.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:59	3109/3109	---M--	200	added ('OK')	image/png	etag:%225e6ba644-c25%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/DE.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/DE.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:59	3488/3488	---M--	200	added ('OK')	image/png	etag:%225e6ba644-da0%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/AU.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/AU.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:00	3543/3543	---M--	200	added ('OK')	image/png	etag:%225e6ba644-dd7%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/GB.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/GB.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:00	3298/3298	---M--	200	added ('OK')	image/png	etag:%225e6ba644-ce2%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/RO.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/RO.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:00	3594/3594	---M--	200	added ('OK')	image/png	etag:%225e6ba644-e0a%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/BR.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/BR.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:01	123917/123917	---M--	200	added ('OK')	image/jpeg	etag:%225e6ba644-1e40d%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/card-3.jpg	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/card-3.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:01	251125/251125	---M--	200	added ('OK')	image/jpeg	etag:%225e6ba644-3d4f5%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/card-2.jpg	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/card-2.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:03	393121/393121	---M--	200	added ('OK')	image/jpeg	etag:%225e6ba644-5ffa1%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-2.jpg	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-2.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:03	233583/233583	---M--	200	added ('OK')	image/jpeg	etag:%225e6ba644-3906f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/card-1.jpg	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/card-1.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:04	377600/377600	---M--	200	added ('OK')	image/jpeg	etag:%225e6ba644-5c300%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-3.jpg	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-3.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:59:04	145741/145741	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e6ba644-2394d%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/core/jquery.min.js	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/js/core/jquery.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
